Source,Target,Weight
Goodbye  Mr. Chips,My Favorite Year,1
Goodbye  Mr. Chips,Venus,1
Separate Tables,Edward  My Son,1
Separate Tables,From Here to Eternity,1
Separate Tables,The King and I,1
Separate Tables,Heaven Knows  Mr. Allison,1
Separate Tables,The Sundowners,1
Separate Tables,A Man for All Seasons,1
A Man for All Seasons,The Search,1
A Man for All Seasons,From Here to Eternity,1
A Man for All Seasons,The Nun's Story,1
A Man for All Seasons,The Sundowners,1
A Man for All Seasons,Quiz Show,1
A Man for All Seasons,Julia,1
Blossoms in the Dust,Madame Curie,1
Blossoms in the Dust,Mrs. Parkington,1
Madame Curie,Mrs. Parkington,1
Madame Curie,The Valley of Decision,1
Madame Curie,Sunrise at Campobello,1
Mrs. Parkington,The Magnificent Ambersons,1
Mrs. Parkington,The Valley of Decision,1
Mrs. Parkington,Sunrise at Campobello,1
Mrs. Parkington,Johnny Belinda,1
Mrs. Parkington,Hush...Hush  Sweet Charlotte,1
Kitty Foyle,Kings Row,1
Lawrence of Arabia,Brief Encounter,1
Lawrence of Arabia,Great Expectations,1
Lawrence of Arabia,The Bridge on the River Kwai,1
Lawrence of Arabia,Becket,1
Lawrence of Arabia,The Ruling Class,1
Lawrence of Arabia,The Stunt Man,1
Lawrence of Arabia,My Favorite Year,1
Lawrence of Arabia,Venus,1
Lawrence of Arabia,Doctor Zhivago,1
Lawrence of Arabia,A Passage to India,1
Becket,My Cousin Rachel,1
Becket,The Robe,1
Becket,The Spy Who Came In from the Cold,1
Becket,Who's Afraid of Virginia Woolf?,1
Becket,Anne of the Thousand Days,1
Becket,Equus,1
Becket,The Ruling Class,1
Becket,The Stunt Man,1
Becket,My Favorite Year,1
Becket,Venus,1
Becket,Arthur,1
The Ruling Class,The Stunt Man,1
The Stunt Man,My Favorite Year,1
The Stunt Man,Venus,1
A Streetcar Named Desire,Gentleman's Agreement,1
A Streetcar Named Desire,Viva Zapata!,1
A Streetcar Named Desire,Julius Caesar,1
A Streetcar Named Desire,On the Waterfront,5
A Streetcar Named Desire,Sayonara,1
A Streetcar Named Desire,The Godfather,1
A Streetcar Named Desire,Last Tango in Paris,1
A Streetcar Named Desire,A Dry White Season,1
A Streetcar Named Desire,East of Eden,1
A Streetcar Named Desire,America America,1
Hold Back the Dawn,The Snake Pit,1
To Each His Own,The Snake Pit,1
Rebecca,Henry V,1
Rebecca,Hamlet,2
Rebecca,The Entertainer,1
Rebecca,Othello,1
Rebecca,Sleuth,1
Rebecca,Marathon Man,1
Rebecca,The Boys from Brazil,1
Rebecca,Suspicion,1
Rebecca,The Constant Nymph,1
Rebecca,Lifeboat,1
Rebecca,Spellbound,1
Rebecca,Rear Window,1
Rebecca,Psycho,1
Henry V,Hamlet,2
Henry V,The Entertainer,1
Henry V,Othello,1
Henry V,Sleuth,1
Henry V,Marathon Man,1
Henry V,The Boys from Brazil,1
Henry V,My Week with Marilyn,2
