Label,Id,category
Burgess Meredith,Burgess Meredith,ACTOR IN A SUPPORTING ROLE
Burl Ives,Burl Ives,ACTOR IN A SUPPORTING ROLE
Burt Lancaster,Burt Lancaster,ACTOR
Burt Lancaster,Burt Lancaster,ACTOR
Burt Lancaster,Burt Lancaster,ACTOR
Burt Lancaster,Burt Lancaster,ACTOR
Burt Reynolds,Burt Reynolds,ACTOR IN A SUPPORTING ROLE
Burt Young,Burt Young,ACTOR IN A SUPPORTING ROLE
Bérénice Bejo,Bérénice Bejo,ACTRESS IN A SUPPORTING ROLE
Candice Bergen,Candice Bergen,ACTRESS IN A SUPPORTING ROLE
Candy Clark,Candy Clark,ACTRESS IN A SUPPORTING ROLE
Cara Williams,Cara Williams,ACTRESS IN A SUPPORTING ROLE
Carey Mulligan,Carey Mulligan,ACTRESS
Carol Channing,Carol Channing,ACTRESS IN A SUPPORTING ROLE
Carol Kane,Carol Kane,ACTRESS
Carol Reed,Carol Reed,DIRECTING
Carol Reed,Carol Reed,DIRECTING
Carol Reed,Carol Reed,DIRECTING
Carole Lombard,Carole Lombard,ACTRESS
Carolyn Jones,Carolyn Jones,ACTRESS IN A SUPPORTING ROLE
Carrie Snodgress,Carrie Snodgress,ACTRESS
Carroll Baker,Carroll Baker,ACTRESS
Cary Grant,Cary Grant,ACTOR
Cary Grant,Cary Grant,ACTOR
Casey Affleck,Casey Affleck,ACTOR IN A SUPPORTING ROLE
Casey Affleck,Casey Affleck,ACTOR
Catalina Sandino Moreno,Catalina Sandino Moreno,ACTRESS
Cate Blanchett,Cate Blanchett,ACTRESS
Cate Blanchett,Cate Blanchett,ACTRESS IN A SUPPORTING ROLE
Cate Blanchett,Cate Blanchett,ACTRESS
Cate Blanchett,Cate Blanchett,ACTRESS IN A SUPPORTING ROLE
Cate Blanchett,Cate Blanchett,ACTRESS IN A SUPPORTING ROLE
Cate Blanchett,Cate Blanchett,ACTRESS
Cate Blanchett,Cate Blanchett,ACTRESS
Catherine Burns,Catherine Burns,ACTRESS IN A SUPPORTING ROLE
Catherine Deneuve,Catherine Deneuve,ACTRESS
Catherine Keener,Catherine Keener,ACTRESS IN A SUPPORTING ROLE
Catherine Keener,Catherine Keener,ACTRESS IN A SUPPORTING ROLE
Catherine Zeta-Jones,Catherine Zeta-Jones,ACTRESS IN A SUPPORTING ROLE
Cathy Moriarty,Cathy Moriarty,ACTRESS IN A SUPPORTING ROLE
Cecil B. DeMille,Cecil B. DeMille,DIRECTING
Cecil Kellaway,Cecil Kellaway,ACTOR IN A SUPPORTING ROLE
Cecil Kellaway,Cecil Kellaway,ACTOR IN A SUPPORTING ROLE
Celeste Holm,Celeste Holm,ACTRESS IN A SUPPORTING ROLE
Celeste Holm,Celeste Holm,ACTRESS IN A SUPPORTING ROLE
Celeste Holm,Celeste Holm,ACTRESS IN A SUPPORTING ROLE
Celia Johnson,Celia Johnson,ACTRESS
