Label,Id,category
 Warner Bros., Warner Bros.,SPECIAL AWARD
 Wes Studi, Wes Studi,HONORARY AWARD
 William Cameron Menzies for outstanding achievement in the use of color for the enhancement of dramatic mood in the production of Gone with the Wind., William Cameron Menzies for outstanding achievement in the use of color for the enhancement of dramatic mood in the production of Gone with the Wind.,SPECIAL AWARD
 William L. Hendricks for his outstanding patriotic service in the conception, William L. Hendricks for his outstanding patriotic service in the conception,HONORARY AWARD
 William Tuttle for his outstanding make-up achievement for 7 Faces of Dr. Lao., William Tuttle for his outstanding make-up achievement for 7 Faces of Dr. Lao.,HONORARY AWARD
 Y. Frank Freeman for unusual and outstanding service to the Academy during his thirty years in Hollywood., Y. Frank Freeman for unusual and outstanding service to the Academy during his thirty years in Hollywood.,HONORARY AWARD
 Yakima Canutt for achievements as a stunt man and for developing safety devices to protect stunt men everywhere., Yakima Canutt for achievements as a stunt man and for developing safety devices to protect stunt men everywhere.,HONORARY AWARD
 the National Endowment for the Arts, the National Endowment for the Arts,HONORARY AWARD
 the National Film Board of Canada in recognition of its 50th anniversary and its dedicated commitment to originate artistic, the National Film Board of Canada in recognition of its 50th anniversary and its dedicated commitment to originate artistic,HONORARY AWARD
 the Technicolor Company for its contributions in successfully bringing three-color feature production to the screen., the Technicolor Company for its contributions in successfully bringing three-color feature production to the screen.,SPECIAL AWARD
'Made by Fred Zinnemann with the cooperation of Paramount Pictures Corporation for the Los Angeles Orthopaedic Hospital','Made by Fred Zinnemann with the cooperation of Paramount Pictures Corporation for the Los Angeles Orthopaedic Hospital',DOCUMENTARY (Short Subject)
(Arthur Edeson),(Arthur Edeson),CINEMATOGRAPHY
"(First National Studio Sound Department, George Groves,)","(First National Studio Sound Department, George Groves,)",SOUND RECORDING
"(Gaetano Gaudio), (Harry Perry)","(Gaetano Gaudio), (Harry Perry)",CINEMATOGRAPHY
"(George Abbott), (Maxwell Anderson), (Del Andrews)","(George Abbott), (Maxwell Anderson), (Del Andrews)",WRITING
(Hans Dreier),(Hans Dreier),ART DIRECTION
(Hans Dreier),(Hans Dreier),ART DIRECTION
(Howard Estabrook),(Howard Estabrook),WRITING
(Jack Okey),(Jack Okey),ART DIRECTION
(John Meehan),(John Meehan),WRITING
(Julian Josephson),(Julian Josephson),WRITING
"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen,)","(Paramount Famous Lasky Studio Sound Department, Franklin Hansen,)",SOUND RECORDING
"(RKO Radio Studio Sound Department, John Tribby,)","(RKO Radio Studio Sound Department, John Tribby,)",SOUND RECORDING
"(United Artists Studio Sound Department, Oscar Lagerstrom,)","(United Artists Studio Sound Department, Oscar Lagerstrom,)",SOUND RECORDING
(Victor Milner),(Victor Milner),CINEMATOGRAPHY
(William Cameron Menzies),(William Cameron Menzies),ART DIRECTION
(William Daniels),(William Daniels),CINEMATOGRAPHY
20th Century,20th Century,OUTSTANDING PRODUCTION
20th Century,20th Century,OUTSTANDING PRODUCTION
20th Century-Fox,20th Century-Fox,SHORT SUBJECT (One-reel)
20th Century-Fox,20th Century-Fox,SHORT SUBJECT (One-reel)
20th Century-Fox,20th Century-Fox,BEST MOTION PICTURE
20th Century-Fox,20th Century-Fox,OUTSTANDING MOTION PICTURE
20th Century-Fox,20th Century-Fox,OUTSTANDING MOTION PICTURE
20th Century-Fox,20th Century-Fox,BEST MOTION PICTURE
20th Century-Fox,20th Century-Fox,OUTSTANDING PRODUCTION
20th Century-Fox,20th Century-Fox,SHORT SUBJECT (One-reel)
20th Century-Fox,20th Century-Fox,BEST MOTION PICTURE
20th Century-Fox,20th Century-Fox,OUTSTANDING MOTION PICTURE
20th Century-Fox,20th Century-Fox,OUTSTANDING MOTION PICTURE
