Label,Id,race_ethnicity,sexual_orientation
John Huston,John Huston,White,Straight
John Huston,John Huston,White,Straight
John Huston,John Huston,White,Straight
John Mills,John Mills,White,Straight
John Schlesinger,John Schlesinger,White,Gay/Lesbian
John Wayne,John Wayne,White,Straight
Jon Voight,Jon Voight,White,Straight
Jonathan Demme,Jonathan Demme,White,Straight
Jose Ferrer,Jose Ferrer,Hispanic,Straight
Joseph L. Mankiewicz,Joseph L. Mankiewicz,White,Straight
Joseph L. Mankiewicz,Joseph L. Mankiewicz,White,Straight
Joseph L. Mankiewicz,Joseph L. Mankiewicz,White,Straight
Joseph L. Mankiewicz,Joseph L. Mankiewicz,White,Straight
Joseph Schildkraut,Joseph Schildkraut,White,Straight
Josephine Hull,Josephine Hull,White,Straight
Judi Dench,Judi Dench,White,Straight
Judy Holliday,Judy Holliday,White,Straight
Julia Roberts,Julia Roberts,White,Straight
Julie Andrews,Julie Andrews,White,Straight
Julie Christie,Julie Christie,White,Straight
Juliette Binoche,Juliette Binoche,White,Straight
Karl Malden,Karl Malden,White,Straight
Kate Winslet,Kate Winslet,White,Straight
Katharine Hepburn,Katharine Hepburn,White,Bisexual
Katharine Hepburn,Katharine Hepburn,White,Bisexual
Katharine Hepburn,Katharine Hepburn,White,Bisexual
Katharine Hepburn,Katharine Hepburn,White,Bisexual
Katharine Hepburn,Katharine Hepburn,White,Bisexual
Katharine Hepburn,Katharine Hepburn,White,Bisexual
Katharine Hepburn,Katharine Hepburn,White,Bisexual
Katharine Hepburn,Katharine Hepburn,White,Bisexual
Katharine Hepburn,Katharine Hepburn,White,Bisexual
Katharine Hepburn,Katharine Hepburn,White,Bisexual
Katharine Hepburn,Katharine Hepburn,White,Bisexual
Katharine Hepburn,Katharine Hepburn,White,Bisexual
Katharine Hepburn,Katharine Hepburn,White,Bisexual
Katharine Hepburn,Katharine Hepburn,White,Bisexual
Katharine Hepburn,Katharine Hepburn,White,Bisexual
Katharine Hepburn,Katharine Hepburn,White,Bisexual
Kathryn Bigelow,Kathryn Bigelow,White,Straight
Kathy Bates,Kathy Bates,White,Straight
Katina Paxinou,Katina Paxinou,White,Straight
Kevin Costner,Kevin Costner,White,Straight
Kevin Kline,Kevin Kline,White,Straight
Kevin Spacey,Kevin Spacey,White,Gay/Lesbian
Kevin Spacey,Kevin Spacey,White,Gay/Lesbian
Kevin Spacey,Kevin Spacey,White,Gay/Lesbian
Kevin Spacey,Kevin Spacey,White,Gay/Lesbian
Kim Basinger,Kim Basinger,White,Straight
Kim Hunter,Kim Hunter,White,Straight
Laurence Olivier,Laurence Olivier,White,Bisexual
Lee Grant,Lee Grant,White,Straight
Lee Grant,Lee Grant,White,Straight
Lee Grant,Lee Grant,White,Straight
Lee Grant,Lee Grant,White,Straight
Lee Marvin,Lee Marvin,White,Straight
Leo McCarey,Leo McCarey,White,Straight
Leo McCarey,Leo McCarey,White,Straight
Leo McCarey,Leo McCarey,White,Straight
Leo McCarey,Leo McCarey,White,Straight
Lewis Milestone,Lewis Milestone,White,Straight
Lewis Milestone,Lewis Milestone,White,Straight
Lewis Milestone,Lewis Milestone,White,Straight
Lewis Milestone,Lewis Milestone,White,Straight
Lila Kedrova,Lila Kedrova,White,Straight
Lionel Barrymore,Lionel Barrymore,White,Straight
Loretta Young,Loretta Young,White,Straight
"Lou Gossett, Jr.","Lou Gossett, Jr.",Black,Straight
Louise Fletcher,Louise Fletcher,White,Straight
Luise Rainer,Luise Rainer,White,Straight
