Source,Target,Weight
Marlon Brando,Red Buttons,1
Marlon Brando,Miyoshi Umeki,1
Marlon Brando,James Caan,1
Marlon Brando,Robert Duvall,1
Marlon Brando,Al Pacino,1
Marlon Brando,Francis Ford Coppola,1
Marlon Brando,Bernardo Bertolucci,1
Karl Malden,Kim Hunter,1
Karl Malden,Lee J. Cobb,1
Karl Malden,Rod Steiger,1
Karl Malden,Eva Marie Saint,1
Cary Grant,Ethel Barrymore,1
Ethel Barrymore,Jeanne Crain,1
Ethel Barrymore,Ethel Waters,1
Charles Coburn,Jean Arthur,1
Charles Coburn,George Stevens,1
Jean Arthur,George Stevens,1
George Stevens,Shelley Winters,3
George Stevens,Jack Palance,1
George Stevens,Brandon De Wilde,1
George Stevens,Mercedes McCambridge,1
George Stevens,James Dean,1
George Stevens,Rock Hudson,1
George Stevens,Ed Wynn,1
Rosalind Russell,Michael Redgrave,1
Rosalind Russell,Peggy Cass,1
Charles Bickford,Henry King,1
Charles Bickford,Loretta Young,1
Charles Bickford,Lew Ayres,1
Charles Bickford,Jean Negulesco,1
Henry King,Alexander Knox,1
José Ferrer,Gerard Depardieu,1
José Ferrer,Colette Marchand,1
José Ferrer,Nicole Kidman,1
Albert Finney,Diane Cilento,1
Albert Finney,Dame Edith Evans,1
Albert Finney,Tony Richardson,1
Albert Finney,Tom Courtenay,1
Albert Finney,Peter Yates,1
Albert Finney,Julia Roberts,1
Albert Finney,Steven Soderbergh,1
Shelley Winters,Ed Wynn,1
Shelley Winters,Elizabeth Hartman,1
Jack Palance,Joan Crawford,1
Jack Palance,Brandon De Wilde,1
Mercedes McCambridge,Broderick Crawford,1
Mercedes McCambridge,John Ireland,1
Mercedes McCambridge,Robert Rossen,1
Mercedes McCambridge,James Dean,1
Mercedes McCambridge,Rock Hudson,1
James Dean,Jo Van Fleet,1
James Dean,Rock Hudson,1
Grace Kelly,Ava Gardner,1
Grace Kelly,George Seaton,1
Clifton Webb,Otto Preminger,1
Jack Lemmon,Shirley MacLaine,1
Jack Lemmon,Jack Kruschen,1
Jack Lemmon,Lee Remick,1
Jack Lemmon,Jack Gilford,1
Jack Lemmon,Sissy Spacek,1
Shirley MacLaine,Arthur Kennedy,1
Shirley MacLaine,Martha Hyer,1
Shirley MacLaine,Jack Kruschen,1
Shirley MacLaine,Anne Bancroft,1
Shirley MacLaine,Mikhail Baryshnikov,1
Shirley MacLaine,Leslie Browne,1
Shirley MacLaine,Herbert Ross,1
Shirley MacLaine,Jack Nicholson,1
Shirley MacLaine,John Lithgow,1
Shirley MacLaine,Debra Winger,1
Shirley MacLaine,James L. Brooks,1
Joan Crawford,Eve Arden,1
Joan Crawford,Ann Blyth,1
Alec Guinness,Sessue Hayakawa,1
Alec Guinness,George Lucas,1
Tom Courtenay,Peter Yates,1
Judy Davis,Peggy Ashcroft,1
Robert Ryan,Gloria Grahame,1
Gloria Grahame,Edward Dmytryk,1
Gloria Grahame,Kirk Douglas,1
Susan Hayward,Robert Wise,1
Robert Wise,Julie Andrews,1
Robert Wise,Peggy Wood,1
Kirk Douglas,Arthur Kennedy,1
Kirk Douglas,Anthony Quinn,1
Lee J. Cobb,Rod Steiger,1
Lee J. Cobb,Eva Marie Saint,1
Rod Steiger,Eva Marie Saint,1
Rod Steiger,Norman Jewison,1
Burt Lancaster,Frank Sinatra,1
Burt Lancaster,Donna Reed,1
Burt Lancaster,Shirley Jones,1
Burt Lancaster,Telly Savalas,1
Burt Lancaster,Susan Sarandon,1
Burt Lancaster,Louis Malle,1
Frank Sinatra,Donna Reed,1
Colette Marchand,Nicole Kidman,1
Nicole Kidman,Ed Harris,1
Nicole Kidman,Julianne Moore,1
Nicole Kidman,Stephen Daldry,1
