year_ceremony,category,name,film,winner
1935,MUSIC (Song),Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn,Flying Down to Rio,FALSE
1935,MUSIC (Song),Music by Con Conrad; Lyrics by Herb Magidson,The Gay Divorcee,TRUE
1935,MUSIC (Song),Music by Ralph Rainger; Lyrics by Leo Robin,She Loves Me Not,FALSE
1935,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Barretts of Wimpole Street,FALSE
1935,OUTSTANDING PRODUCTION,Paramount,Cleopatra,FALSE
1935,OUTSTANDING PRODUCTION,First National,Flirtation Walk,FALSE
1935,OUTSTANDING PRODUCTION,RKO Radio,The Gay Divorcee,FALSE
1935,OUTSTANDING PRODUCTION,Warner Bros.,Here Comes the Navy,FALSE
1935,OUTSTANDING PRODUCTION,20th Century,The House of Rothschild,FALSE
1935,OUTSTANDING PRODUCTION,Universal,Imitation of Life,FALSE
1935,OUTSTANDING PRODUCTION,Columbia,It Happened One Night,TRUE
1935,OUTSTANDING PRODUCTION,Columbia,One Night of Love,FALSE
1935,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Thin Man,FALSE
1935,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Viva Villa!,FALSE
1935,OUTSTANDING PRODUCTION,Jesse L. Lasky (production company),The White Parade,FALSE
1935,SHORT SUBJECT (Cartoon),"Charles Mintz, Producer",Holiday Land,FALSE
1935,SHORT SUBJECT (Cartoon),"Walter Lantz, Producer",Jolly Little Elves,FALSE
1935,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Tortoise and the Hare,TRUE
1935,SHORT SUBJECT (Comedy),"Kenneth Macgowan, Producer",La Cucaracha,TRUE
1935,SHORT SUBJECT (Comedy),"Jules White, Producer",Men in Black,FALSE
1935,SHORT SUBJECT (Comedy),Warner Bros.,"What, No Men!",FALSE
1935,SHORT SUBJECT (Novelty),Skibo Productions,Bosom Friends,FALSE
1935,SHORT SUBJECT (Novelty),"Stacy Woodard and Horace Woodard, Producers",City of Wax,TRUE
